window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-06-01_2020-08-31,z500,HRES,3 days,88.5,1.0501630717834418,1222.6257773933917
2020-06-01_2020-08-31,z500,HRES,3 days,89.5,1.0759777598983067,1169.0479462881267
2020-06-01_2020-08-31,z500,HRES,3 days,90.5,1.1140787843459596,1153.560383289924
2020-06-01_2020-08-31,z500,HRES,3 days,91.5,1.09593219468821,1131.733291764701
2020-06-01_2020-08-31,z500,HRES,3 days,92.5,1.110683248936144,1105.3399613826832
2020-06-01_2020-08-31,z500,HRES,3 days,93.5,1.1077557998767935,1071.28768427866
2020-06-01_2020-08-31,z500,HRES,3 days,94.5,1.0970342436461775,1051.4222702459942
2020-06-01_2020-08-31,z500,HRES,3 days,95.5,1.0978710152683824,1027.0213014844653
2020-06-01_2020-08-31,z500,HRES,3 days,96.5,1.113897416865042,1008.9326969271505
2020-06-01_2020-08-31,z500,HRES,3 days,97.5,1.10721467330958,982.7454187401715
2020-06-01_2020-08-31,z500,HRES,3 days,98.5,1.1247595142777689,973.6799204341263
2020-06-01_2020-08-31,z500,HRES,3 days,99.5,1.1609381825139635,950.4661784302855
2020-06-01_2020-08-31,z500,HRES,3 days,100.5,1.1442241061525893,937.1641461778439
2020-06-01_2020-08-31,z500,HRES,3 days,101.5,1.1411380118498953,906.6365634436232
2020-06-01_2020-08-31,z500,HRES,3 days,102.5,1.1484691685101314,887.0675990548062
2020-06-01_2020-08-31,z500,HRES,3 days,103.5,1.2038991057975046,884.54090965223
2020-06-01_2020-08-31,z500,HRES,3 days,104.5,1.1550579966148564,854.3793156370493
2020-06-01_2020-08-31,z500,HRES,3 days,105.5,1.1841453002115154,851.7271252699989
2020-06-01_2020-08-31,z500,HRES,3 days,106.5,1.1664416015699963,832.1974955892764
2020-06-01_2020-08-31,z500,HRES,3 days,107.5,1.1775668463526683,814.0940449447818
2020-06-01_2020-08-31,z500,HRES,3 days,108.5,1.2023548751106337,814.6494933340447
2020-06-01_2020-08-31,z500,HRES,3 days,109.5,1.1982480481084,798.2808789631683
2020-06-01_2020-08-31,z500,HRES,3 days,110.5,1.2121249481127805,788.7251429372643
2020-06-01_2020-08-31,z500,HRES,3 days,111.5,1.2107873706866763,782.8765820087614
2020-06-01_2020-08-31,z500,HRES,3 days,112.5,1.20094624788305,771.3757003741259
2020-06-01_2020-08-31,z500,HRES,3 days,113.5,1.2005729763466222,769.3518899852494
2020-06-01_2020-08-31,z500,HRES,3 days,114.5,1.239140508363098,756.2363006959891
2020-06-01_2020-08-31,z500,HRES,3 days,115.5,1.2305047630054886,747.5224956856296
2020-06-01_2020-08-31,z500,HRES,3 days,116.5,1.229916776472734,749.331127253594
2020-06-01_2020-08-31,z500,HRES,3 days,117.5,1.2305929108101366,740.0999787594193
2020-06-01_2020-08-31,z500,HRES,3 days,118.5,1.2588180874679589,736.9181548362994
2020-06-01_2020-08-31,z500,HRES,3 days,119.5,1.2478915979855307,726.3424000600023
2020-06-01_2020-08-31,z500,HRES,3 days,120.5,1.2424523048234848,726.9351234349296
2020-06-01_2020-08-31,z500,HRES,3 days,121.5,1.2620511031570267,662.3035224549158
2020-06-01_2020-08-31,z500,HRES,3 days,122.5,1.2805735319677465,634.5881412814455
2020-06-01_2020-08-31,z500,HRES,3 days,123.5,1.340713748073779,594.9518962164536
2020-06-01_2020-08-31,z500,HRES,3 days,124.5,1.2961593358527699,575.8875398869476
2020-06-01_2020-08-31,z500,HRES,3 days,125.5,1.2976042138201482,565.8315604515601
2020-06-01_2020-08-31,z500,HRES,3 days,126.5,1.3158923903736575,545.4472568408771
2020-06-01_2020-08-31,z500,HRES,3 days,127.5,1.3390853460855145,524.5302860427873
2020-06-01_2020-08-31,z500,HRES,3 days,128.5,1.3578861627174594,516.7186663297949
2020-06-01_2020-08-31,z500,HRES,3 days,129.5,1.3718919013902824,503.23526776757694
2020-06-01_2020-08-31,z500,HRES,3 days,130.5,1.4377011070077719,504.01033113163055
2020-06-01_2020-08-31,z500,HRES,3 days,131.5,1.4059297215330078,497.65343641036617
2020-06-01_2020-08-31,z500,HRES,3 days,132.5,1.4439153507140932,492.09987714635696
2020-06-01_2020-08-31,z500,HRES,3 days,133.5,1.6042370908991712,449.3168023902259
2020-06-01_2020-08-31,z500,HRES,3 days,134.5,1.7706765433610179,421.9711594372511
2020-06-01_2020-08-31,z500,HRES,5 days,0.5,0.8350126540355715,0.07362821705895702
2020-06-01_2020-08-31,z500,HRES,5 days,1.5,1.0013267062931308,915192.7869779981
2020-06-01_2020-08-31,z500,HRES,5 days,2.5,1.0170698963296076,854817.0920472272
2020-06-01_2020-08-31,z500,HRES,5 days,3.5,0.9671958542890087,864442.0920224222
2020-06-01_2020-08-31,z500,HRES,5 days,4.5,0.9878439957244276,791724.4811433278
2020-06-01_2020-08-31,z500,HRES,5 days,5.5,0.9868234053712759,675625.821342556
2020-06-01_2020-08-31,z500,HRES,5 days,6.5,0.9990570352211379,587140.9332411226
2020-06-01_2020-08-31,z500,HRES,5 days,7.5,0.9814098625596194,495134.0857163942
2020-06-01_2020-08-31,z500,HRES,5 days,8.5,0.9678840615064425,413050.43461291824
2020-06-01_2020-08-31,z500,HRES,5 days,9.5,0.9785919529477819,353529.371207411
2020-06-01_2020-08-31,z500,HRES,5 days,10.5,0.968447284058036,287870.5631733598
