window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-06-01_2022-08-31,u850,HRES,5 days,0,ACC,40,0.7544465271758064,0.7380471929522576,0.7689910117017366,0.7573744814386076,0.031024096520649146
2022-06-01_2022-08-31,u850,HRES,5 days,1,ACC,40,0.757698575109584,0.7321154365782285,0.7800711337995878,0.7550346320386491,0.044867516683761786
2022-06-01_2022-08-31,u850,HRES,5 days,2,ACC,23,0.8020793372742646,0.7961940950281118,0.8099391163624997,0.7995033582993892,0.017530041460772146
2022-06-01_2022-08-31,u850,HRES,5 days,3,ACC,71,0.7673794184116784,0.7528773375849672,0.7815208849925636,0.7638442759667035,0.03632849404199216
2022-06-01_2022-08-31,u850,HRES,7 days,0,ACC,40,0.535176298825097,0.5155364206738069,0.5560150124614295,0.5417459795712193,0.05014627584715939
2022-06-01_2022-08-31,u850,HRES,7 days,1,ACC,40,0.5837548024108375,0.5542345100822608,0.6177134696054762,0.5817253635375903,0.058729817226987724
2022-06-01_2022-08-31,u850,HRES,7 days,2,ACC,19,0.6320359598054317,0.6208085922653177,0.6423876831217599,0.632210734649349,0.02537815793372259
2022-06-01_2022-08-31,u850,HRES,7 days,3,ACC,71,0.5578234472818505,0.5297928162640744,0.5907085741352323,0.5552668084161686,0.07491736131055417
2022-06-01_2022-08-31,u850,HRES,1 days,0,MAE,40,0.9772699835614322,0.9687512370886029,0.9851863487951118,0.9762016890173342,0.016951420747202746
2022-06-01_2022-08-31,u850,HRES,1 days,1,MAE,40,0.9807906552791511,0.9728650590117438,0.9899212806206439,0.97714714976988,0.018656112854920165
2022-06-01_2022-08-31,u850,HRES,1 days,2,MAE,31,0.9860293095039628,0.9753065993577786,0.9959840554639401,0.9847350723534496,0.02210760155073095
2022-06-01_2022-08-31,u850,HRES,1 days,3,MAE,71,0.9789555248475093,0.9704741844991203,0.9883260634678807,0.9758322396030542,0.022543278380827945
2022-06-01_2022-08-31,u850,HRES,3 days,0,MAE,40,1.6467241688502938,1.6072159973590718,1.6816202271174647,1.6281238809354752,0.06733101575869033
2022-06-01_2022-08-31,u850,HRES,3 days,1,MAE,40,1.6563002366566728,1.625594556882925,1.692294524922685,1.6469616346442237,0.06542186212109452
2022-06-01_2022-08-31,u850,HRES,3 days,2,MAE,27,1.6395461233683457,1.59145120196022,1.685258378900026,1.6371960549296423,0.0711717460177518
2022-06-01_2022-08-31,u850,HRES,3 days,3,MAE,71,1.6442536465188269,1.6234327545427594,1.6646218281435372,1.6479864398552129,0.05215124357151446
2022-06-01_2022-08-31,u850,HRES,5 days,0,MAE,40,2.5085794076135053,2.4577510700116187,2.5723913753980003,2.5024637846901006,0.11700918154668907
2022-06-01_2022-08-31,u850,HRES,5 days,1,MAE,40,2.5091020189350237,2.461023913196109,2.57955027008602,2.5297384527933633,0.1229752845868569
2022-06-01_2022-08-31,u850,HRES,5 days,2,MAE,23,2.4696964255917964,2.3766869757551117,2.5467388877874075,2.4649180266721777,0.13391930883339795
2022-06-01_2022-08-31,u850,HRES,5 days,3,MAE,71,2.4887857644785787,2.4349083866845995,2.539397159643703,2.4717164857851164,0.1321339861561492
2022-06-01_2022-08-31,u850,HRES,7 days,0,MAE,40,3.4420373007185048,3.3712787848863934,3.533802423561548,3.4438258772797217,0.19640782466671433
2022-06-01_2022-08-31,u850,HRES,7 days,1,MAE,40,3.3527855316405555,3.274878991448395,3.432451071900043,3.3517480115280067,0.1683424928650651
2022-06-01_2022-08-31,u850,HRES,7 days,2,MAE,19,3.3794357406413282,3.262709145822903,3.4390759645173623,3.39774730329602,0.15621992941664553
2022-06-01_2022-08-31,u850,HRES,7 days,3,MAE,71,3.4134461471643394,3.316073342989217,3.4966530738689294,3.420394206782998,0.22446903509046073
2022-06-01_2022-08-31,u850,HRES,1 days,0,BIAS,40,0.015083750297396059,0.0030306263096204576,0.030819425405097946,0.014960844860439138,0.03911890554419199
2022-06-01_2022-08-31,u850,HRES,1 days,1,BIAS,40,0.032180433690371046,0.021266454687287526,0.04084992163992663,0.027582818474511682,0.04766868277006398
2022-06-01_2022-08-31,u850,HRES,1 days,2,BIAS,31,0.01797259416991293,0.004353190505547272,0.03162969137914635,0.006604218522716084,0.04094420271033364
2022-06-01_2022-08-31,u850,HRES,1 days,3,BIAS,71,0.012494372576878798,-0.0002949019000895595,0.02445380364992323,0.009060010021163769,0.04602586045357331
