window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std,lead_h,tag,bucket,season,start,end
2018-03-01_2018-05-31,t850,HRES,1 days,3,BIAS,42,0.0229112714099225,0.0172924202069977,0.0284934142525709,0.0235141902823346,0.0155242222855577,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,0,BIAS,22,-0.0003975432672854,-0.026617336784388,0.0211951039609413,0.005632121547351,0.0329662828953317,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,1,BIAS,58,0.0203736903103571,0.0045891456141011,0.0387763002969457,0.0192573648157083,0.0393377456009289,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,2,BIAS,60,-0.0304328370782499,-0.0453068687227157,-0.0167964214545225,-0.0260485978729876,0.0341350200808176,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,3,BIAS,38,0.0348067363634419,0.0157234549774304,0.0454528549383988,0.0361615499095067,0.0325539971057679,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,0,BIAS,22,-0.018968771813056,-0.0598768568513368,0.0366616599419432,-0.0419766212719472,0.0663228235054998,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,1,BIAS,58,0.0313178423008483,0.0133738984185295,0.0554968649421972,0.0283529992134918,0.0496790158895544,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,2,BIAS,60,-0.0530720793926649,-0.0718245475820258,-0.0324875416036077,-0.0541662595248132,0.0441349859122706,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,3,BIAS,34,0.0213665157752714,0.0021897378769623,0.0377139821728989,0.017878011175006,0.0377511170380151,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,0,BIAS,22,-0.0436621119033844,-0.1073653147645601,0.044795251199389,-0.0705407450629655,0.1093598687720874,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,1,BIAS,58,0.0350099876135485,0.0184016160230447,0.0581155094140289,0.0490653679856226,0.0575642387908332,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,2,BIAS,60,-0.0784084000725023,-0.095726790387447,-0.0628006418566547,-0.072720378575136,0.0515666614203113,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
