window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked,lead_h,tag,bucket,season,start,end
2020-09-01_2020-11-30,GraphCast,7 days,462.350340821117,443.0556383851597,39,129,168.0,SON_2020,season,SON,2020-09-01,2020-11-30
2020-09-01_2020-11-30,NeuralGCM,1 days,37.68944070155114,37.42567476119603,39,141,24.0,SON_2020,season,SON,2020-09-01,2020-11-30
2020-09-01_2020-11-30,NeuralGCM,3 days,112.95431152331425,112.10407456511768,39,137,72.0,SON_2020,season,SON,2020-09-01,2020-11-30
2020-09-01_2020-11-30,NeuralGCM,5 days,266.3212835339201,250.86557500080303,39,133,120.0,SON_2020,season,SON,2020-09-01,2020-11-30
2020-09-01_2020-11-30,NeuralGCM,7 days,459.4673854494868,456.3251190293157,39,129,168.0,SON_2020,season,SON,2020-09-01,2020-11-30
2020-12-01_2021-02-28,HRES,1 days,46.4628171991866,47.18167003327241,32,146,24.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,HRES,3 days,133.3619890918652,134.49980835614784,31,143,72.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,HRES,5 days,290.32768076201813,296.2640671794825,30,140,120.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,HRES,7 days,500.3537304168273,501.39265921997054,26,140,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,GraphCast,1 days,39.314812992949015,38.81459644501938,27,97,24.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,GraphCast,3 days,118.12144383947684,116.75981287484304,26,98,72.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,GraphCast,5 days,249.91931533915965,250.88701504324845,25,99,120.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,GraphCast,7 days,440.2027738120202,429.2600888568996,22,102,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,NeuralGCM,1 days,36.90896953736711,36.34310178046928,16,46,24.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,NeuralGCM,3 days,113.7323333038432,104.3689564836134,17,45,72.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,NeuralGCM,5 days,243.58987880936675,228.79685134840443,20,42,120.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2020-12-01_2021-02-28,NeuralGCM,7 days,434.56831843236125,394.69956505862257,20,42,168.0,DJF_2021,season,DJF,2020-12-01,2021-02-28
2021-03-01_2021-05-31,HRES,1 days,47.06763223521905,46.80302542695185,80,102,24.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,HRES,3 days,146.5841756364074,145.47059883472426,79,99,72.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,HRES,5 days,331.5888843065796,334.580421648761,79,95,120.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,HRES,7 days,559.7745158041612,574.7271523308287,79,91,168.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,GraphCast,1 days,,,0,0,24.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,GraphCast,3 days,,,0,0,72.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,GraphCast,5 days,,,0,0,120.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,GraphCast,7 days,,,0,0,168.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,NeuralGCM,1 days,,,0,0,24.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,NeuralGCM,3 days,,,0,0,72.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,NeuralGCM,5 days,,,0,0,120.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-03-01_2021-05-31,NeuralGCM,7 days,,,0,0,168.0,MAM_2021,season,MAM,2021-03-01,2021-05-31
2021-06-01_2021-08-31,HRES,1 days,46.9033722118535,46.39992527395353,74,108,24.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,HRES,3 days,142.98659940589462,140.5614744028072,70,108,72.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,HRES,5 days,321.02108555176375,312.7363157709725,66,108,120.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,HRES,7 days,527.8546936660687,518.2297261964175,66,104,168.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,GraphCast,1 days,,,0,0,24.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,GraphCast,3 days,,,0,0,72.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,GraphCast,5 days,,,0,0,120.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,GraphCast,7 days,,,0,0,168.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,NeuralGCM,1 days,,,0,0,24.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,NeuralGCM,3 days,,,0,0,72.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,NeuralGCM,5 days,,,0,0,120.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-06-01_2021-08-31,NeuralGCM,7 days,,,0,0,168.0,JJA_2021,season,JJA,2021-06-01,2021-08-31
2021-09-01_2021-11-30,HRES,1 days,46.34423000695721,45.78872442807808,38,142,24.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,HRES,3 days,130.6499946750424,136.13400027311522,36,140,72.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,HRES,5 days,290.0930044626461,295.2399171918116,36,136,120.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,HRES,7 days,505.388448662796,504.4792164055647,36,132,168.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,GraphCast,1 days,,,0,0,24.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,GraphCast,3 days,,,0,0,72.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,GraphCast,5 days,,,0,0,120.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,GraphCast,7 days,,,0,0,168.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,NeuralGCM,1 days,,,0,0,24.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,NeuralGCM,3 days,,,0,0,72.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,NeuralGCM,5 days,,,0,0,120.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-09-01_2021-11-30,NeuralGCM,7 days,,,0,0,168.0,SON_2021,season,SON,2021-09-01,2021-11-30
2021-12-01_2022-02-28,HRES,1 days,47.09614043178911,47.00651268771392,48,130,24.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,HRES,3 days,136.90373362054626,137.46820536135724,48,126,72.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,HRES,5 days,306.06030129555006,292.0993883500988,48,122,120.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,HRES,7 days,514.6710387651627,498.1414448635622,48,118,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,GraphCast,1 days,,,0,0,24.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,GraphCast,3 days,,,0,0,72.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,GraphCast,5 days,,,0,0,120.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,GraphCast,7 days,,,0,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,NeuralGCM,1 days,,,0,0,24.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,NeuralGCM,3 days,,,0,0,72.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,NeuralGCM,5 days,,,0,0,120.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2021-12-01_2022-02-28,NeuralGCM,7 days,,,0,0,168.0,DJF_2022,season,DJF,2021-12-01,2022-02-28
2022-03-01_2022-05-31,HRES,1 days,46.92234208450147,46.027743561345865,110,72,24.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,HRES,3 days,142.94682102467036,138.1415257987265,109,69,72.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,HRES,5 days,313.6581001138589,315.69029634278394,105,69,120.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,HRES,7 days,534.1801336489519,536.6056145558842,101,69,168.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,GraphCast,1 days,,,0,0,24.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,GraphCast,3 days,,,0,0,72.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,GraphCast,5 days,,,0,0,120.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,GraphCast,7 days,,,0,0,168.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
2022-03-01_2022-05-31,NeuralGCM,1 days,,,0,0,24.0,MAM_2022,season,MAM,2022-03-01,2022-05-31
