window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-09-01_2022-11-30,z500,HRES,7 days,3,BIAS,35,22.886572133684083,19.21951759040952,26.721168075413757,23.154677482107388,7.1769504687013805
2022-09-01_2022-11-30,t850,HRES,1 days,0,RMSE,48,0.8607240972891592,0.8238889727336444,0.90748140252323,0.8441447700366259,0.081550246809334
2022-09-01_2022-11-30,t850,HRES,1 days,1,RMSE,42,0.8276160746816542,0.8003761018565428,0.8564227729494652,0.8093975297792795,0.05548576386400167
2022-09-01_2022-11-30,t850,HRES,1 days,2,RMSE,55,0.8073140915117255,0.7897026022037469,0.8245907604777193,0.801712726333182,0.03957953981551052
2022-09-01_2022-11-30,t850,HRES,1 days,3,RMSE,35,0.8468732738921402,0.8266378575096894,0.8640664304235249,0.8455872180639191,0.03669499612114626
2022-09-01_2022-11-30,t850,HRES,3 days,0,RMSE,48,1.184243316252415,1.1603120475415847,1.207969722628647,1.1754183327561065,0.05530627905415901
2022-09-01_2022-11-30,t850,HRES,3 days,1,RMSE,42,1.1880978273625886,1.1628540293361114,1.2075006927400853,1.1818748688423928,0.053476848526144545
2022-09-01_2022-11-30,t850,HRES,3 days,2,RMSE,51,1.2310237014915666,1.2070919504974844,1.2507209258490761,1.2313310342636683,0.05057150128543664
2022-09-01_2022-11-30,t850,HRES,3 days,3,RMSE,35,1.184725940137258,1.153444072402057,1.2109478180888753,1.1832909964403115,0.04786317445123092
2022-09-01_2022-11-30,t850,HRES,5 days,0,RMSE,48,1.7795658441360374,1.743320169191325,1.8237410096879572,1.7745943391361028,0.09927399934347104
2022-09-01_2022-11-30,t850,HRES,5 days,1,RMSE,42,1.811736513436001,1.7470120064267256,1.8770788332134432,1.7726645443127593,0.12256767356787705
2022-09-01_2022-11-30,t850,HRES,5 days,2,RMSE,47,1.921973210148674,1.8777521868466196,1.95938873344385,1.9343283858035234,0.11017356715295344
2022-09-01_2022-11-30,t850,HRES,5 days,3,RMSE,35,1.8015124442438217,1.754038085508627,1.8685913815702713,1.7820604902884125,0.11276735424195923
2022-09-01_2022-11-30,t850,HRES,7 days,0,RMSE,48,2.5266490750579833,2.456459875755806,2.599752783882677,2.541334760538455,0.1803575158342509
2022-09-01_2022-11-30,t850,HRES,7 days,1,RMSE,42,2.6210622926762683,2.5071026707158954,2.7390398873749375,2.5941784053869616,0.23865834007869352
2022-09-01_2022-11-30,t850,HRES,7 days,2,RMSE,43,2.743700814236455,2.6891609785438115,2.784695996219566,2.7511502351906447,0.14846103185902523
2022-09-01_2022-11-30,t850,HRES,7 days,3,RMSE,35,2.635943233383447,2.5370951691181935,2.7330818063849955,2.607111107971708,0.23378921987799864
2022-09-01_2022-11-30,t850,HRES,1 days,0,ACC,48,0.9718371462879452,0.9689724458412777,0.9747761039094776,0.970979918698877,0.005806179345476578
2022-09-01_2022-11-30,t850,HRES,1 days,1,ACC,42,0.9696879821246573,0.9679651750337718,0.9706748624162793,0.9700703145373364,0.003479709545113078
2022-09-01_2022-11-30,t850,HRES,1 days,2,ACC,55,0.983358164302717,0.9812499212208601,0.9850733260242298,0.9834374795655285,0.0035213225565495546
2022-09-01_2022-11-30,t850,HRES,1 days,3,ACC,35,0.9855451037292499,0.9841848320077988,0.9881354211382315,0.9855588383971795,0.0035634633431179267
2022-09-01_2022-11-30,t850,HRES,3 days,0,ACC,48,0.9450293333324603,0.9392998749903915,0.9513476751292992,0.9461243283631866,0.010841907480214486
2022-09-01_2022-11-30,t850,HRES,3 days,1,ACC,42,0.9385005298260636,0.9364324424984705,0.9398783814560113,0.9374846707343668,0.005359466988887576
2022-09-01_2022-11-30,t850,HRES,3 days,2,ACC,51,0.9618346904520101,0.956933207990965,0.965457748693851,0.9607858973184309,0.00806315538227805
2022-09-01_2022-11-30,t850,HRES,3 days,3,ACC,35,0.9707650690271592,0.9673186871609825,0.976073967296014,0.9702240420760939,0.007022256747530198
2022-09-01_2022-11-30,t850,HRES,5 days,0,ACC,48,0.8722889177221429,0.8583477632002321,0.8895257515876029,0.8781481467276009,0.028440624983663492
2022-09-01_2022-11-30,t850,HRES,5 days,1,ACC,42,0.8595720431648072,0.8516478693832441,0.8665157859203595,0.8589741702033542,0.016797185176845225
2022-09-01_2022-11-30,t850,HRES,5 days,2,ACC,47,0.9076812282987389,0.8969977239227745,0.9156822849254665,0.9084499342039362,0.019079149176670175
2022-09-01_2022-11-30,t850,HRES,5 days,3,ACC,35,0.9302606905711591,0.9225577418462929,0.942698677628829,0.9261653931947513,0.016974763572670668
2022-09-01_2022-11-30,t850,HRES,7 days,0,ACC,48,0.739498006330503,0.7070946075291039,0.7755306967332569,0.7382807993862712,0.065736090351567
2022-09-01_2022-11-30,t850,HRES,7 days,1,ACC,42,0.7099873347421715,0.6880529972041037,0.7282107240002965,0.7131843483605291,0.047875834515628456
2022-09-01_2022-11-30,t850,HRES,7 days,2,ACC,43,0.812457583608729,0.794097766278322,0.8273200792955845,0.8147628374764483,0.03436728223540382
2022-09-01_2022-11-30,t850,HRES,7 days,3,ACC,35,0.846168342769321,0.8330631458993695,0.8732211008136215,0.8496463424037993,0.042113990152254026
2022-09-01_2022-11-30,t850,HRES,1 days,0,MAE,48,0.5563585678021149,0.54456988267549,0.5711104883088173,0.5521329829949011,0.026588392778852422
2022-09-01_2022-11-30,t850,HRES,1 days,1,MAE,42,0.5465243679765639,0.5363002857772233,0.5567762494367128,0.5416165786186773,0.019392771704006658
2022-09-01_2022-11-30,t850,HRES,1 days,2,MAE,55,0.5423671700580517,0.5333768261195817,0.5506965573044387,0.5401020956863358,0.01992000047464093
2022-09-01_2022-11-30,t850,HRES,1 days,3,MAE,35,0.5597465977229339,0.5489210906553466,0.5682223244505616,0.5622317903951402,0.017680348239922598
2022-09-01_2022-11-30,t850,HRES,3 days,0,MAE,48,0.8088078769691217,0.796913716384491,0.8198439208751309,0.8072044980565605,0.028210631744456392
